MDXfind algo	hashes.org algo
MD51SALTMD5MD5	MD5(MD5(MD5(PLAIN))SALTSALT)
MD5MD5USER	MD5(MD5(PLAIN)SALT)
MD5MD5USER	MD5(MD5(PLAIN)INSDPSALT)
MD5MD5USERx01	MD5(MD5(PLAIN)SALT)
SHA1MD5MD5	SHA1MD5X2
SHA1SHA1RAWMD5	SHA1RAWSHA1MD5
SHA1MD5MD5MD5	SHA1MD5X3
SHA1MD5MD5SHA1MD5	SHA1MD5X2SHA1MD5
SHA1MD5MD5SHA1	SHA1MD5X2SHA1
SHA1MD5MD5MD5SHA1	SHA1MD5X3SHA1
SHA1MD5MD5MD5MD5	SHA1MD5X4
SHA1MD5MD5MD5MD5MD5	SHA1MD5X5
SHA1SHA1RAWMD5MD5	SHA1RAWSHA1MD5X2
SHA1SHA1RAWMD5MD5MD5	SHA1RAWSHA1MD5X3
SHA1MD51SALTMD5	SHA1MD5(SALTMD5(PLAIN))
SHA1MD51SALTMD5	SHA1MD5(MD5(PLAIN)SALT)
SHA1MD51SALTMD5	SHA1MD5(SALTMD5(PLAIN)SALT)
SHA1MD51SALTMD5	SHA1MD5(SALTSALTMD5(PLAIN))
SHA1MD51SALTMD5	SHA1MD5(MD5(PLAIN)SALTSALT)
MD5SHA1SHA1MD5	MD5SHA1X2MD5
MD5SQL5MD5	MD5MYSQL5TOTMD5
MD5SQL5-chop40	MD5CUT0-40MYSQL5TOT
MD5-2xMD5	MD5(MD5(PLAIN)MD5(PLAIN))
MD5-2xMD5-MD5	MD5(MD5X2(PLAIN)MD5X2(PLAIN))
MD5-2xMD5-SHA1	MD5(MD5(SHA1(PLAIN))MD5(SHA1(PLAIN)))
MD5-2xMD5-MD5MD5	MD5(MD5X3(PLAIN)MD5X3(PLAIN))
MD5-2xMD5-MD5MD5MD5	MD5(MD5X4(PLAIN)MD5X4(PLAIN))
SHA1MD5USER	SHA1(MD5(PLAIN)SALT)
SHA1MD5USER	SHA1(MD5(PLAIN)INSDPSALT)
SHA1MD5RADMIN2	SHA1MD5RADMIN2
SHA1SHA1USER	SHA1(SHA1(PLAIN)SALT)
SHA11SALTMD5	SHA1(SALTMD5(PLAIN))
SHA11SALTMD5	SHA1(MD5(PLAIN)SALT)
SHA11SALTMD5	SHA1(SALTMD5(PLAIN)SALT)
SHA11SALTMD5	SHA1(SALTSALTMD5(PLAIN))
SHA11SALTMD5	SHA1(MD5(PLAIN)SALTSALT)
MD5-3xMD5	MD5(MD5(PLAIN)MD5(PLAIN)MD5(PLAIN))
MD5-3xMD5-MD5	MD5(MD5X2(PLAIN)MD5X2(PLAIN)MD5X2(PLAIN))
MD5-3xMD5-SHA1	MD5(MD5(SHA1(PLAIN))MD5(SHA1(PLAIN))MD5(SHA1(PLAIN)))
MD5-3xMD5-MD5MD5	MD5(MD5X3(PLAIN)MD5X3(PLAIN)MD5X3(PLAIN))
MD5-3xMD5-MD5MD5MD5	MD5(MD5X4(PLAIN)MD5X4(PLAIN)MD5X4(PLAIN))
SHA1-2xSHA1	SHA1(SHA1(PLAIN)SHA1(PLAIN))
SHA1-2xSHA1-MD5	SHA1(SHA1(MD5(PLAIN))SHA1(MD5(PLAIN)))
SHA1-2xSHA1-SHA1	SHA1(SHA1X2(PLAIN)SHA1X2(PLAIN))
SHA1-2xSHA1-MD5MD5	SHA1(SHA1(MD5X2(PLAIN))SHA1(MD5X2(PLAIN)))
SHA1-2xSHA1-MD5MD5MD5	SHA1(SHA1(MD5X3(PLAIN))SHA1(MD5X3(PLAIN)))
